industry_pair,stock_pair,spread_std,total_avg_volume,annualized_return,max_drawdown,sharpe_ratio
公用事业-农林牧渔,"('000155.SZ', '600737.SH')",0.562913907526195,541842965.8888888,14.101114859999997,-2.6654921403843126,1.1698273761725295
公用事业-农林牧渔,"('601016.SH', '600737.SH')",0.5612257512750679,503194343.0476191,14.101114859999997,-2.6654921403843126,1.1698273761725295
公用事业-建筑材料,"('601991.SH', '601636.SH')",0.7641973908933153,531122086.96825397,-1619.0679208000004,-3.9013127930485734,1.470051969628142
公用事业-建筑材料,"('601991.SH', '600801.SH')",1.147968377890123,428239394.17460316,-1619.0679208000004,-3.9013127930485734,1.470051969628142
公用事业-通信,"('600578.SH', '688387.SH')",0.550714040672944,238066742.94444445,-0.22121619999999997,-0.645779781126754,0.31592420765670937
公用事业-建筑装饰,"('601991.SH', '600970.SH')",1.1034911936469902,492171096.71428573,-3.158166669999999,-2.256830058290245,0.6372954267063452
公用事业-建筑装饰,"('601991.SH', '600720.SH')",0.716150210111494,417805765.15873015,-3.158166669999999,-2.256830058290245,0.6372954267063452
公用事业-商贸零售,"('600578.SH', '601933.SH')",1.450275362719568,1503587758.095238,5.749073909999997,-3.7082173,-1.3410511740671562
公用事业-商贸零售,"('600642.SH', '000785.SZ')",0.6557228320656927,579360452.1349206,5.749073909999997,-3.7082173,-1.3410511740671562
公用事业-轻工制造,"('601991.SH', '002078.SZ')",0.87089261638978,564614976.0,1097.9851324400006,-4.6601920139245765,1.4631446994641368
公用事业-轻工制造,"('000155.SZ', '002078.SZ')",0.7808932628263958,484543861.7301587,1097.9851324400006,-4.6601920139245765,1.4631446994641368
公用事业-纺织服饰,"('600642.SH', '002563.SZ')",0.5601807259915904,347546027.9206349,68.79788933000002,-1.2312546675733753,-2.3482369252994255
公用事业-纺织服饰,"('000155.SZ', '002563.SZ')",0.5176151965350877,327611722.06349206,68.79788933000002,-1.2312546675733753,-2.3482369252994255
公用事业-社会服务,"('600578.SH', '002607.SZ')",0.6828768875937217,1336248290.063492,1.1412276799999996,-2.015359943810548,-1.4531152692832812
公用事业-社会服务,"('002608.SZ', '300144.SZ')",0.8053624218680284,458467453.7222222,1.1412276799999996,-2.015359943810548,-1.4531152692832812
传媒-汽车,"('300002.SZ', '000559.SZ')",1.4830315642707799,1123728065.4603174,-0.9967218199999966,-2.214523674565033,-1.985659029014844
传媒-汽车,"('002739.SZ', '601966.SH')",1.1007826045030529,706734389.5873016,-0.9967218199999966,-2.214523674565033,-1.985659029014844
传媒-交通运输,"('002739.SZ', '601598.SH')",1.2049430454092311,594841550.3650794,100.23978154,-0.9084634491052597,2.5172516218322993
传媒-交通运输,"('601928.SH', '600153.SH')",1.0532570083704174,516516980.9841269,100.23978154,-0.9084634491052597,2.5172516218322993
传媒-钢铁,"('601928.SH', '000932.SZ')",0.7230471434359841,672809545.8095238,-891857.7683073301,-5.246230559231311,-4.222005332102926
